weight_kg,zone_1_eur,zone_2_eur,zone_3_eur,zone_4_eur,zone_5_eur,zone_6_eur,zone_7_eur
1,36.18,44.22,57.55,51.05,55.7,58.97,80.82
2,40.8,50.73,64.76,59.85,65.61,70.9,93.96
3,45.35,55.47,67.45,64.16,72.47,78.24,102.9
4,49.9,60.21,70.14,68.47,79.33,85.58,111.84
5,54.45,64.95,72.83,72.78,86.19,92.92,120.78
6,54.65,65.6,75.99,75.57,91.73,98.49,127.79
7,54.85,66.25,79.15,78.36,97.27,104.06,134.8
8,55.05,66.9,82.31,81.15,102.81,109.63,141.81
9,55.25,67.55,85.47,83.94,108.35,115.2,148.82
10,55.45,68.2,88.63,86.73,113.89,120.77,155.83
11,56.45,69.15,89.82,88.0,115.29,122.19,158.95
12,57.45,70.1,91.01,89.27,116.69,123.61,162.07
13,58.45,71.05,92.2,90.54,118.09,125.03,165.19
14,59.45,72.0,93.39,91.81,119.49,126.45,168.31
15,60.45,72.95,94.58,93.08,120.89,127.87,171.43
16,61.45,73.9,95.77,94.35,122.29,129.29,174.55
17,62.45,74.85,96.96,95.62,123.69,130.71,177.67
18,63.45,75.8,98.15,96.89,125.09,132.13,180.79
19,64.45,76.75,99.34,98.16,126.49,133.55,183.91
20,65.45,77.7,100.53,99.43,127.89,134.97,187.03
21,67.19,80.43,103.76,103.17,132.35,139.96,192.22
22,68.93,83.16,106.99,106.91,136.81,144.95,197.41
23,70.67,85.89,110.22,110.65,141.27,149.94,202.6
24,72.41,88.62,113.45,114.39,145.73,154.93,207.79
25,74.15,91.35,116.68,118.13,150.19,159.92,212.98
26,75.89,94.08,119.91,121.87,154.65,164.91,218.17
27,77.63,96.81,123.14,125.61,159.11,169.9,223.36
28,79.37,99.54,126.37,129.35,163.57,174.89,228.55
29,81.11,102.27,129.6,133.09,168.03,179.88,233.74
30,82.85,105.0,132.83,136.83,172.49,184.87,238.93
31,85.34,107.98,137.22,140.9,177.31,189.76,244.38
32,87.83,110.96,141.61,144.97,182.13,194.65,249.83
33,90.32,113.94,146.0,149.04,186.95,199.54,255.28
34,92.81,116.92,150.39,153.11,191.77,204.43,260.73
35,95.3,119.9,154.78,157.18,196.59,209.32,266.18
36,97.79,122.88,159.17,161.25,201.41,214.21,271.63
37,100.28,125.86,163.56,165.32,206.23,219.1,277.08
38,102.77,128.84,167.95,169.39,211.05,223.99,282.53
39,105.26,131.82,172.34,173.46,215.87,228.88,287.98
40,107.75,134.8,176.73,177.53,220.69,233.77,293.43
41,110.24,137.78,181.12,181.6,225.51,238.66,298.88
42,112.73,140.76,185.51,185.67,230.33,243.55,304.33
43,115.22,143.74,189.9,189.74,235.15,248.44,309.78
44,117.71,146.72,194.29,193.81,239.97,253.33,315.23
45,120.2,149.7,198.68,197.88,244.79,258.22,320.68
46,122.69,152.68,203.07,201.95,249.61,263.11,326.13
47,125.18,155.66,207.46,206.02,254.43,268.0,331.58
48,127.67,158.64,211.85,210.09,259.25,272.89,337.03
49,130.16,161.62,216.24,214.16,264.07,277.78,342.48
50,132.65,164.6,220.63,218.23,268.89,282.67,347.93
51,135.14,167.58,225.02,222.3,273.71,287.56,353.38
52,137.63,170.56,229.41,226.37,278.53,292.45,358.83
53,140.12,173.54,233.8,230.44,283.35,297.34,364.28
54,142.61,176.52,238.19,234.51,288.17,302.23,369.73
55,145.1,179.5,242.58,238.58,292.99,307.12,375.18
56,147.59,182.48,246.97,242.65,297.81,312.01,380.63
57,150.08,185.46,251.36,246.72,302.63,316.9,386.08
58,152.57,188.44,255.75,250.79,307.45,321.79,391.53
59,155.06,191.42,260.14,254.86,312.27,326.68,396.98
60,157.55,194.4,264.53,258.93,317.09,331.57,402.43
61,160.04,197.38,268.92,263.0,321.91,336.46,407.88
62,162.53,200.36,273.31,267.07,326.73,341.35,413.33
63,165.02,203.34,277.7,271.14,331.55,346.24,418.78
64,167.51,206.32,282.09,275.21,336.37,351.13,424.23
65,170.0,209.3,286.48,279.28,341.19,356.02,429.68
66,172.49,212.28,290.87,283.35,346.01,360.91,435.13
67,174.98,215.26,295.26,287.42,350.83,365.8,440.58
68,177.47,218.24,299.65,291.49,355.65,370.69,446.03
69,179.96,221.22,304.04,295.56,360.47,375.58,451.48
70,182.45,224.2,308.43,299.63,365.29,380.47,456.93
71,194.19,238.67,326.03,315.63,383.89,399.27,479.51
72,194.19,238.67,326.03,315.63,383.89,399.27,479.51
73,194.19,238.67,326.03,315.63,383.89,399.27,479.51
74,194.19,238.67,326.03,315.63,383.89,399.27,479.51
75,194.19,238.67,326.03,315.63,383.89,399.27,479.51
76,205.93,253.14,343.63,331.63,402.49,418.07,502.09
77,205.93,253.14,343.63,331.63,402.49,418.07,502.09
78,205.93,253.14,343.63,331.63,402.49,418.07,502.09
79,205.93,253.14,343.63,331.63,402.49,418.07,502.09
80,205.93,253.14,343.63,331.63,402.49,418.07,502.09
81,217.67,267.61,361.23,347.63,421.09,436.87,524.67
82,217.67,267.61,361.23,347.63,421.09,436.87,524.67
83,217.67,267.61,361.23,347.63,421.09,436.87,524.67
84,217.67,267.61,361.23,347.63,421.09,436.87,524.67
85,217.67,267.61,361.23,347.63,421.09,436.87,524.67
86,229.41,282.08,378.83,363.63,439.69,455.67,547.25
87,229.41,282.08,378.83,363.63,439.69,455.67,547.25
88,229.41,282.08,378.83,363.63,439.69,455.67,547.25
89,229.41,282.08,378.83,363.63,439.69,455.67,547.25
90,229.41,282.08,378.83,363.63,439.69,455.67,547.25
91,241.15,296.55,396.43,379.63,458.29,474.47,569.83
92,241.15,296.55,396.43,379.63,458.29,474.47,569.83
93,241.15,296.55,396.43,379.63,458.29,474.47,569.83
94,241.15,296.55,396.43,379.63,458.29,474.47,569.83
95,241.15,296.55,396.43,379.63,458.29,474.47,569.83
96,252.89,311.02,414.03,395.63,476.89,493.27,592.41
97,252.89,311.02,414.03,395.63,476.89,493.27,592.41
98,252.89,311.02,414.03,395.63,476.89,493.27,592.41
99,252.89,311.02,414.03,395.63,476.89,493.27,592.41
100,252.89,311.02,414.03,395.63,476.89,493.27,592.41
101,264.63,325.49,431.63,411.63,495.49,512.07,614.99
102,264.63,325.49,431.63,411.63,495.49,512.07,614.99
103,264.63,325.49,431.63,411.63,495.49,512.07,614.99
104,264.63,325.49,431.63,411.63,495.49,512.07,614.99
105,264.63,325.49,431.63,411.63,495.49,512.07,614.99
106,276.37,339.96,449.23,427.63,514.09,530.87,637.57
107,276.37,339.96,449.23,427.63,514.09,530.87,637.57
108,276.37,339.96,449.23,427.63,514.09,530.87,637.57
109,276.37,339.96,449.23,427.63,514.09,530.87,637.57
110,276.37,339.96,449.23,427.63,514.09,530.87,637.57
111,288.11,354.43,466.83,443.63,532.69,549.67,660.15
112,288.11,354.43,466.83,443.63,532.69,549.67,660.15
113,288.11,354.43,466.83,443.63,532.69,549.67,660.15
114,288.11,354.43,466.83,443.63,532.69,549.67,660.15
115,288.11,354.43,466.83,443.63,532.69,549.67,660.15
116,299.85,368.9,484.43,459.63,551.29,568.47,682.73
117,299.85,368.9,484.43,459.63,551.29,568.47,682.73
118,299.85,368.9,484.43,459.63,551.29,568.47,682.73
119,299.85,368.9,484.43,459.63,551.29,568.47,682.73
120,299.85,368.9,484.43,459.63,551.29,568.47,682.73
121,311.59,383.37,502.03,475.63,569.89,587.27,705.31
122,311.59,383.37,502.03,475.63,569.89,587.27,705.31
123,311.59,383.37,502.03,475.63,569.89,587.27,705.31
124,311.59,383.37,502.03,475.63,569.89,587.27,705.31
125,311.59,383.37,502.03,475.63,569.89,587.27,705.31
126,323.33,397.84,519.63,491.63,588.49,606.07,727.89
127,323.33,397.84,519.63,491.63,588.49,606.07,727.89
128,323.33,397.84,519.63,491.63,588.49,606.07,727.89
129,323.33,397.84,519.63,491.63,588.49,606.07,727.89
130,323.33,397.84,519.63,491.63,588.49,606.07,727.89
131,335.07,412.31,537.23,507.63,607.09,624.87,750.47
132,335.07,412.31,537.23,507.63,607.09,624.87,750.47
133,335.07,412.31,537.23,507.63,607.09,624.87,750.47
134,335.07,412.31,537.23,507.63,607.09,624.87,750.47
135,335.07,412.31,537.23,507.63,607.09,624.87,750.47
136,346.81,426.78,554.83,523.63,625.69,643.67,773.05
137,346.81,426.78,554.83,523.63,625.69,643.67,773.05
138,346.81,426.78,554.83,523.63,625.69,643.67,773.05
139,346.81,426.78,554.83,523.63,625.69,643.67,773.05
140,346.81,426.78,554.83,523.63,625.69,643.67,773.05
141,358.55,441.25,572.43,539.63,644.29,662.47,795.63
142,358.55,441.25,572.43,539.63,644.29,662.47,795.63
143,358.55,441.25,572.43,539.63,644.29,662.47,795.63
144,358.55,441.25,572.43,539.63,644.29,662.47,795.63
145,358.55,441.25,572.43,539.63,644.29,662.47,795.63
146,370.29,455.72,590.03,555.63,662.89,681.27,818.21
147,370.29,455.72,590.03,555.63,662.89,681.27,818.21
148,370.29,455.72,590.03,555.63,662.89,681.27,818.21
149,370.29,455.72,590.03,555.63,662.89,681.27,818.21
150,370.29,455.72,590.03,555.63,662.89,681.27,818.21
151,382.03,470.19,607.63,571.63,681.49,700.07,840.79
152,382.03,470.19,607.63,571.63,681.49,700.07,840.79
153,382.03,470.19,607.63,571.63,681.49,700.07,840.79
154,382.03,470.19,607.63,571.63,681.49,700.07,840.79
155,382.03,470.19,607.63,571.63,681.49,700.07,840.79
156,393.77,484.66,625.23,587.63,700.09,718.87,863.37
157,393.77,484.66,625.23,587.63,700.09,718.87,863.37
158,393.77,484.66,625.23,587.63,700.09,718.87,863.37
159,393.77,484.66,625.23,587.63,700.09,718.87,863.37
160,393.77,484.66,625.23,587.63,700.09,718.87,863.37
161,405.51,499.13,642.83,603.63,718.69,737.67,885.95
162,405.51,499.13,642.83,603.63,718.69,737.67,885.95
163,405.51,499.13,642.83,603.63,718.69,737.67,885.95
164,405.51,499.13,642.83,603.63,718.69,737.67,885.95
165,405.51,499.13,642.83,603.63,718.69,737.67,885.95
166,417.25,513.6,660.43,619.63,737.29,756.47,908.53
167,417.25,513.6,660.43,619.63,737.29,756.47,908.53
168,417.25,513.6,660.43,619.63,737.29,756.47,908.53
169,417.25,513.6,660.43,619.63,737.29,756.47,908.53
170,417.25,513.6,660.43,619.63,737.29,756.47,908.53
171,428.99,528.07,678.03,635.63,755.89,775.27,931.11
172,428.99,528.07,678.03,635.63,755.89,775.27,931.11
173,428.99,528.07,678.03,635.63,755.89,775.27,931.11
174,428.99,528.07,678.03,635.63,755.89,775.27,931.11
175,428.99,528.07,678.03,635.63,755.89,775.27,931.11
176,440.73,542.54,695.63,651.63,774.49,794.07,953.69
177,440.73,542.54,695.63,651.63,774.49,794.07,953.69
178,440.73,542.54,695.63,651.63,774.49,794.07,953.69
179,440.73,542.54,695.63,651.63,774.49,794.07,953.69
180,440.73,542.54,695.63,651.63,774.49,794.07,953.69
181,452.47,557.01,713.23,667.63,793.09,812.87,976.27
182,452.47,557.01,713.23,667.63,793.09,812.87,976.27
183,452.47,557.01,713.23,667.63,793.09,812.87,976.27
184,452.47,557.01,713.23,667.63,793.09,812.87,976.27
185,452.47,557.01,713.23,667.63,793.09,812.87,976.27
186,464.21,571.48,730.83,683.63,811.69,831.67,998.85
187,464.21,571.48,730.83,683.63,811.69,831.67,998.85
188,464.21,571.48,730.83,683.63,811.69,831.67,998.85
189,464.21,571.48,730.83,683.63,811.69,831.67,998.85
190,464.21,571.48,730.83,683.63,811.69,831.67,998.85
191,475.95,585.95,748.43,699.63,830.29,850.47,1021.43
192,475.95,585.95,748.43,699.63,830.29,850.47,1021.43
193,475.95,585.95,748.43,699.63,830.29,850.47,1021.43
194,475.95,585.95,748.43,699.63,830.29,850.47,1021.43
195,475.95,585.95,748.43,699.63,830.29,850.47,1021.43
196,487.69,600.42,766.03,715.63,848.89,869.27,1044.01
197,487.69,600.42,766.03,715.63,848.89,869.27,1044.01
198,487.69,600.42,766.03,715.63,848.89,869.27,1044.01
199,487.69,600.42,766.03,715.63,848.89,869.27,1044.01
200,487.69,600.42,766.03,715.63,848.89,869.27,1044.01
