weight_kg,zone_1_eur,zone_2_eur,zone_3_eur,zone_4_eur,zone_5_eur,zone_6_eur,zone_7_eur,zone_8_eur,zone_9_eur,zone_10_eur,zone_11_eur
105.0,385.83,603.83,828.32,784.31,940.5,970.15,1165.07,1525.52,2054.01,2630.3,2882.83
105.5,390.35,611.09,838.41,793.57,951.32,981.14,1178.27,1543.87,2078.14,2659.32,2913.14
106.0,390.35,611.09,838.41,793.57,951.32,981.14,1178.27,1543.87,2078.14,2659.32,2913.14
106.5,394.87,618.35,848.5,802.83,962.14,992.13,1191.47,1562.22,2102.27,2688.34,2943.45
107.0,394.87,618.35,848.5,802.83,962.14,992.13,1191.47,1562.22,2102.27,2688.34,2943.45
107.5,399.39,625.61,858.59,812.09,972.96,1003.12,1204.67,1580.57,2126.4,2717.36,2973.76
108.0,399.39,625.61,858.59,812.09,972.96,1003.12,1204.67,1580.57,2126.4,2717.36,2973.76
108.5,403.91,632.87,868.68,821.35,983.78,1014.11,1217.87,1598.92,2150.53,2746.38,3004.07
109.0,403.91,632.87,868.68,821.35,983.78,1014.11,1217.87,1598.92,2150.53,2746.38,3004.07
109.5,408.43,640.13,878.77,830.61,994.6,1025.1,1231.07,1617.27,2174.66,2775.4,3034.38
110.0,408.43,640.13,878.77,830.61,994.6,1025.1,1231.07,1617.27,2174.66,2775.4,3034.38
110.5,412.95,647.39,888.86,839.87,1005.42,1036.09,1244.27,1635.62,2198.79,2804.42,3064.69
111.0,412.95,647.39,888.86,839.87,1005.42,1036.09,1244.27,1635.62,2198.79,2804.42,3064.69
111.5,417.47,654.65,898.95,849.13,1016.24,1047.08,1257.47,1653.97,2222.92,2833.44,3095.0
112.0,417.47,654.65,898.95,849.13,1016.24,1047.08,1257.47,1653.97,2222.92,2833.44,3095.0
112.5,421.99,661.91,909.04,858.39,1027.06,1058.07,1270.67,1672.32,2247.05,2862.46,3125.31
113.0,421.99,661.91,909.04,858.39,1027.06,1058.07,1270.67,1672.32,2247.05,2862.46,3125.31
113.5,426.51,669.17,919.13,867.65,1037.88,1069.06,1283.87,1690.67,2271.18,2891.48,3155.62
114.0,426.51,669.17,919.13,867.65,1037.88,1069.06,1283.87,1690.67,2271.18,2891.48,3155.62
114.5,431.03,676.43,929.22,876.91,1048.7,1080.05,1297.07,1709.02,2295.31,2920.5,3185.93
115.0,431.03,676.43,929.22,876.91,1048.7,1080.05,1297.07,1709.02,2295.31,2920.5,3185.93
115.5,435.55,683.69,939.31,886.17,1059.52,1091.04,1310.27,1727.37,2319.44,2949.52,3216.24
116.0,435.55,683.69,939.31,886.17,1059.52,1091.04,1310.27,1727.37,2319.44,2949.52,3216.24
116.5,440.07,690.95,949.4,895.43,1070.34,1102.03,1323.47,1745.72,2343.57,2978.54,3246.55
117.0,440.07,690.95,949.4,895.43,1070.34,1102.03,1323.47,1745.72,2343.57,2978.54,3246.55
117.5,444.59,698.21,959.49,904.69,1081.16,1113.02,1336.67,1764.07,2367.7,3007.56,3276.86
118.0,444.59,698.21,959.49,904.69,1081.16,1113.02,1336.67,1764.07,2367.7,3007.56,3276.86
118.5,449.11,705.47,969.58,913.95,1091.98,1124.01,1349.87,1782.42,2391.83,3036.58,3307.17
119.0,449.11,705.47,969.58,913.95,1091.98,1124.01,1349.87,1782.42,2391.83,3036.58,3307.17
119.5,453.63,712.73,979.67,923.21,1102.8,1135.0,1363.07,1800.77,2415.96,3065.6,3337.48
120.0,453.63,712.73,979.67,923.21,1102.8,1135.0,1363.07,1800.77,2415.96,3065.6,3337.48
120.5,458.15,719.99,989.76,932.47,1113.62,1145.99,1376.27,1819.12,2440.09,3094.62,3367.79
121.0,458.15,719.99,989.76,932.47,1113.62,1145.99,1376.27,1819.12,2440.09,3094.62,3367.79
121.5,462.67,727.25,999.85,941.73,1124.44,1156.98,1389.47,1837.47,2464.22,3123.64,3398.1
122.0,462.67,727.25,999.85,941.73,1124.44,1156.98,1389.47,1837.47,2464.22,3123.64,3398.1
122.5,467.19,734.51,1009.94,950.99,1135.26,1167.97,1402.67,1855.82,2488.35,3152.66,3428.41
123.0,467.19,734.51,1009.94,950.99,1135.26,1167.97,1402.67,1855.82,2488.35,3152.66,3428.41
123.5,471.71,741.77,1020.03,960.25,1146.08,1178.96,1415.87,1874.17,2512.48,3181.68,3458.72
124.0,471.71,741.77,1020.03,960.25,1146.08,1178.96,1415.87,1874.17,2512.48,3181.68,3458.72
124.5,476.23,749.03,1030.12,969.51,1156.9,1189.95,1429.07,1892.52,2536.61,3210.7,3489.03
125.0,476.23,749.03,1030.12,969.51,1156.9,1189.95,1429.07,1892.52,2536.61,3210.7,3489.03
125.5,480.75,756.29,1040.21,978.77,1167.72,1200.94,1442.27,1910.87,2560.74,3239.72,3519.34
126.0,480.75,756.29,1040.21,978.77,1167.72,1200.94,1442.27,1910.87,2560.74,3239.72,3519.34
126.5,485.27,763.55,1050.3,988.03,1178.54,1211.93,1455.47,1929.22,2584.87,3268.74,3549.65
127.0,485.27,763.55,1050.3,988.03,1178.54,1211.93,1455.47,1929.22,2584.87,3268.74,3549.65
127.5,489.79,770.81,1060.39,997.29,1189.36,1222.92,1468.67,1947.57,2609.0,3297.76,3579.96
128.0,489.79,770.81,1060.39,997.29,1189.36,1222.92,1468.67,1947.57,2609.0,3297.76,3579.96
128.5,494.31,778.07,1070.48,1006.55,1200.18,1233.91,1481.87,1965.92,2633.13,3326.78,3610.27
129.0,494.31,778.07,1070.48,1006.55,1200.18,1233.91,1481.87,1965.92,2633.13,3326.78,3610.27
129.5,498.83,785.33,1080.57,1015.81,1211.0,1244.9,1495.07,1984.27,2657.26,3355.8,3640.58
130.0,498.83,785.33,1080.57,1015.81,1211.0,1244.9,1495.07,1984.27,2657.26,3355.8,3640.58
130.5,503.35,792.59,1090.66,1025.07,1221.82,1255.89,1508.27,2002.62,2681.39,3384.82,3670.89
131.0,503.35,792.59,1090.66,1025.07,1221.82,1255.89,1508.27,2002.62,2681.39,3384.82,3670.89
131.5,507.87,799.85,1100.75,1034.33,1232.64,1266.88,1521.47,2020.97,2705.52,3413.84,3701.2
132.0,507.87,799.85,1100.75,1034.33,1232.64,1266.88,1521.47,2020.97,2705.52,3413.84,3701.2
132.5,512.39,807.11,1110.84,1043.59,1243.46,1277.87,1534.67,2039.32,2729.65,3442.86,3731.51
133.0,512.39,807.11,1110.84,1043.59,1243.46,1277.87,1534.67,2039.32,2729.65,3442.86,3731.51
133.5,516.91,814.37,1120.93,1052.85,1254.28,1288.86,1547.87,2057.67,2753.78,3471.88,3761.82
134.0,516.91,814.37,1120.93,1052.85,1254.28,1288.86,1547.87,2057.67,2753.78,3471.88,3761.82
134.5,521.43,821.63,1131.02,1062.11,1265.1,1299.85,1561.07,2076.02,2777.91,3500.9,3792.13
135.0,521.43,821.63,1131.02,1062.11,1265.1,1299.85,1561.07,2076.02,2777.91,3500.9,3792.13
135.5,525.95,828.89,1141.11,1071.37,1275.92,1310.84,1574.27,2094.37,2802.04,3529.92,3822.44
136.0,525.95,828.89,1141.11,1071.37,1275.92,1310.84,1574.27,2094.37,2802.04,3529.92,3822.44
136.5,530.47,836.15,1151.2,1080.63,1286.74,1321.83,1587.47,2112.72,2826.17,3558.94,3852.75
137.0,530.47,836.15,1151.2,1080.63,1286.74,1321.83,1587.47,2112.72,2826.17,3558.94,3852.75
137.5,534.99,843.41,1161.29,1089.89,1297.56,1332.82,1600.67,2131.07,2850.3,3587.96,3883.06
138.0,534.99,843.41,1161.29,1089.89,1297.56,1332.82,1600.67,2131.07,2850.3,3587.96,3883.06
138.5,539.51,850.67,1171.38,1099.15,1308.38,1343.81,1613.87,2149.42,2874.43,3616.98,3913.37
139.0,539.51,850.67,1171.38,1099.15,1308.38,1343.81,1613.87,2149.42,2874.43,3616.98,3913.37
139.5,544.03,857.93,1181.47,1108.41,1319.2,1354.8,1627.07,2167.77,2898.56,3646.0,3943.68
140.0,544.03,857.93,1181.47,1108.41,1319.2,1354.8,1627.07,2167.77,2898.56,3646.0,3943.68
140.5,548.55,865.19,1191.56,1117.67,1330.02,1365.79,1640.27,2186.12,2922.69,3675.02,3973.99
141.0,548.55,865.19,1191.56,1117.67,1330.02,1365.79,1640.27,2186.12,2922.69,3675.02,3973.99
141.5,553.07,872.45,1201.65,1126.93,1340.84,1376.78,1653.47,2204.47,2946.82,3704.04,4004.3
142.0,553.07,872.45,1201.65,1126.93,1340.84,1376.78,1653.47,2204.47,2946.82,3704.04,4004.3
142.5,557.59,879.71,1211.74,1136.19,1351.66,1387.77,1666.67,2222.82,2970.95,3733.06,4034.61
143.0,557.59,879.71,1211.74,1136.19,1351.66,1387.77,1666.67,2222.82,2970.95,3733.06,4034.61
143.5,562.11,886.97,1221.83,1145.45,1362.48,1398.76,1679.87,2241.17,2995.08,3762.08,4064.92
144.0,562.11,886.97,1221.83,1145.45,1362.48,1398.76,1679.87,2241.17,2995.08,3762.08,4064.92
144.5,566.63,894.23,1231.92,1154.71,1373.3,1409.75,1693.07,2259.52,3019.21,3791.1,4095.23
145.0,566.63,894.23,1231.92,1154.71,1373.3,1409.75,1693.07,2259.52,3019.21,3791.1,4095.23
145.5,571.15,901.49,1242.01,1163.97,1384.12,1420.74,1706.27,2277.87,3043.34,3820.12,4125.54
146.0,571.15,901.49,1242.01,1163.97,1384.12,1420.74,1706.27,2277.87,3043.34,3820.12,4125.54
146.5,575.67,908.75,1252.1,1173.23,1394.94,1431.73,1719.47,2296.22,3067.47,3849.14,4155.85
147.0,575.67,908.75,1252.1,1173.23,1394.94,1431.73,1719.47,2296.22,3067.47,3849.14,4155.85
147.5,580.19,916.01,1262.19,1182.49,1405.76,1442.72,1732.67,2314.57,3091.6,3878.16,4186.16
148.0,580.19,916.01,1262.19,1182.49,1405.76,1442.72,1732.67,2314.57,3091.6,3878.16,4186.16
148.5,584.71,923.27,1272.28,1191.75,1416.58,1453.71,1745.87,2332.92,3115.73,3907.18,4216.47
149.0,584.71,923.27,1272.28,1191.75,1416.58,1453.71,1745.87,2332.92,3115.73,3907.18,4216.47
149.5,589.23,930.53,1282.37,1201.01,1427.4,1464.7,1759.07,2351.27,3139.86,3936.2,4246.78
150.0,589.23,930.53,1282.37,1201.01,1427.4,1464.7,1759.07,2351.27,3139.86,3936.2,4246.78
150.5,593.75,937.79,1292.46,1210.27,1438.22,1475.69,1772.27,2369.62,3163.99,3965.22,4277.09
151.0,593.75,937.79,1292.46,1210.27,1438.22,1475.69,1772.27,2369.62,3163.99,3965.22,4277.09
151.5,598.27,945.05,1302.55,1219.53,1449.04,1486.68,1785.47,2387.97,3188.12,3994.24,4307.4
152.0,598.27,945.05,1302.55,1219.53,1449.04,1486.68,1785.47,2387.97,3188.12,3994.24,4307.4
152.5,602.79,952.31,1312.64,1228.79,1459.86,1497.67,1798.67,2406.32,3212.25,4023.26,4337.71
153.0,602.79,952.31,1312.64,1228.79,1459.86,1497.67,1798.67,2406.32,3212.25,4023.26,4337.71
153.5,607.31,959.57,1322.73,1238.05,1470.68,1508.66,1811.87,2424.67,3236.38,4052.28,4368.02
154.0,607.31,959.57,1322.73,1238.05,1470.68,1508.66,1811.87,2424.67,3236.38,4052.28,4368.02
154.5,611.83,966.83,1332.82,1247.31,1481.5,1519.65,1825.07,2443.02,3260.51,4081.3,4398.33
155.0,611.83,966.83,1332.82,1247.31,1481.5,1519.65,1825.07,2443.02,3260.51,4081.3,4398.33
155.5,616.35,974.09,1342.91,1256.57,1492.32,1530.64,1838.27,2461.37,3284.64,4110.32,4428.64
156.0,616.35,974.09,1342.91,1256.57,1492.32,1530.64,1838.27,2461.37,3284.64,4110.32,4428.64
156.5,620.87,981.35,1353.0,1265.83,1503.14,1541.63,1851.47,2479.72,3308.77,4139.34,4458.95
157.0,620.87,981.35,1353.0,1265.83,1503.14,1541.63,1851.47,2479.72,3308.77,4139.34,4458.95
157.5,625.39,988.61,1363.09,1275.09,1513.96,1552.62,1864.67,2498.07,3332.9,4168.36,4489.26
158.0,625.39,988.61,1363.09,1275.09,1513.96,1552.62,1864.67,2498.07,3332.9,4168.36,4489.26
158.5,629.91,995.87,1373.18,1284.35,1524.78,1563.61,1877.87,2516.42,3357.03,4197.38,4519.57
159.0,629.91,995.87,1373.18,1284.35,1524.78,1563.61,1877.87,2516.42,3357.03,4197.38,4519.57
159.5,634.43,1003.13,1383.27,1293.61,1535.6,1574.6,1891.07,2534.77,3381.16,4226.4,4549.88
160.0,634.43,1003.13,1383.27,1293.61,1535.6,1574.6,1891.07,2534.77,3381.16,4226.4,4549.88
160.5,638.95,1010.39,1393.36,1302.87,1546.42,1585.59,1904.27,2553.12,3405.29,4255.42,4580.19
161.0,638.95,1010.39,1393.36,1302.87,1546.42,1585.59,1904.27,2553.12,3405.29,4255.42,4580.19
161.5,643.47,1017.65,1403.45,1312.13,1557.24,1596.58,1917.47,2571.47,3429.42,4284.44,4610.5
162.0,643.47,1017.65,1403.45,1312.13,1557.24,1596.58,1917.47,2571.47,3429.42,4284.44,4610.5
162.5,647.99,1024.91,1413.54,1321.39,1568.06,1607.57,1930.67,2589.82,3453.55,4313.46,4640.81
163.0,647.99,1024.91,1413.54,1321.39,1568.06,1607.57,1930.67,2589.82,3453.55,4313.46,4640.81
163.5,652.51,1032.17,1423.63,1330.65,1578.88,1618.56,1943.87,2608.17,3477.68,4342.48,4671.12
164.0,652.51,1032.17,1423.63,1330.65,1578.88,1618.56,1943.87,2608.17,3477.68,4342.48,4671.12
164.5,657.03,1039.43,1433.72,1339.91,1589.7,1629.55,1957.07,2626.52,3501.81,4371.5,4701.43
165.0,657.03,1039.43,1433.72,1339.91,1589.7,1629.55,1957.07,2626.52,3501.81,4371.5,4701.43
165.5,661.55,1046.69,1443.81,1349.17,1600.52,1640.54,1970.27,2644.87,3525.94,4400.52,4731.74
166.0,661.55,1046.69,1443.81,1349.17,1600.52,1640.54,1970.27,2644.87,3525.94,4400.52,4731.74
166.5,666.07,1053.95,1453.9,1358.43,1611.34,1651.53,1983.47,2663.22,3550.07,4429.54,4762.05
167.0,666.07,1053.95,1453.9,1358.43,1611.34,1651.53,1983.47,2663.22,3550.07,4429.54,4762.05
167.5,670.59,1061.21,1463.99,1367.69,1622.16,1662.52,1996.67,2681.57,3574.2,4458.56,4792.36
168.0,670.59,1061.21,1463.99,1367.69,1622.16,1662.52,1996.67,2681.57,3574.2,4458.56,4792.36
168.5,675.11,1068.47,1474.08,1376.95,1632.98,1673.51,2009.87,2699.92,3598.33,4487.58,4822.67
169.0,675.11,1068.47,1474.08,1376.95,1632.98,1673.51,2009.87,2699.92,3598.33,4487.58,4822.67
169.5,679.63,1075.73,1484.17,1386.21,1643.8,1684.5,2023.07,2718.27,3622.46,4516.6,4852.98
170.0,679.63,1075.73,1484.17,1386.21,1643.8,1684.5,2023.07,2718.27,3622.46,4516.6,4852.98
170.5,684.15,1082.99,1494.26,1395.47,1654.62,1695.49,2036.27,2736.62,3646.59,4545.62,4883.29
171.0,684.15,1082.99,1494.26,1395.47,1654.62,1695.49,2036.27,2736.62,3646.59,4545.62,4883.29
171.5,688.67,1090.25,1504.35,1404.73,1665.44,1706.48,2049.47,2754.97,3670.72,4574.64,4913.6
172.0,688.67,1090.25,1504.35,1404.73,1665.44,1706.48,2049.47,2754.97,3670.72,4574.64,4913.6
172.5,693.19,1097.51,1514.44,1413.99,1676.26,1717.47,2062.67,2773.32,3694.85,4603.66,4943.91
173.0,693.19,1097.51,1514.44,1413.99,1676.26,1717.47,2062.67,2773.32,3694.85,4603.66,4943.91
173.5,697.71,1104.77,1524.53,1423.25,1687.08,1728.46,2075.87,2791.67,3718.98,4632.68,4974.22
174.0,697.71,1104.77,1524.53,1423.25,1687.08,1728.46,2075.87,2791.67,3718.98,4632.68,4974.22
174.5,702.23,1112.03,1534.62,1432.51,1697.9,1739.45,2089.07,2810.02,3743.11,4661.7,5004.53
175.0,702.23,1112.03,1534.62,1432.51,1697.9,1739.45,2089.07,2810.02,3743.11,4661.7,5004.53
175.5,706.75,1119.29,1544.71,1441.77,1708.72,1750.44,2102.27,2828.37,3767.24,4690.72,5034.84
176.0,706.75,1119.29,1544.71,1441.77,1708.72,1750.44,2102.27,2828.37,3767.24,4690.72,5034.84
176.5,711.27,1126.55,1554.8,1451.03,1719.54,1761.43,2115.47,2846.72,3791.37,4719.74,5065.15
177.0,711.27,1126.55,1554.8,1451.03,1719.54,1761.43,2115.47,2846.72,3791.37,4719.74,5065.15
177.5,715.79,1133.81,1564.89,1460.29,1730.36,1772.42,2128.67,2865.07,3815.5,4748.76,5095.46
178.0,715.79,1133.81,1564.89,1460.29,1730.36,1772.42,2128.67,2865.07,3815.5,4748.76,5095.46
178.5,720.31,1141.07,1574.98,1469.55,1741.18,1783.41,2141.87,2883.42,3839.63,4777.78,5125.77
179.0,720.31,1141.07,1574.98,1469.55,1741.18,1783.41,2141.87,2883.42,3839.63,4777.78,5125.77
179.5,724.83,1148.33,1585.07,1478.81,1752.0,1794.4,2155.07,2901.77,3863.76,4806.8,5156.08
180.0,724.83,1148.33,1585.07,1478.81,1752.0,1794.4,2155.07,2901.77,3863.76,4806.8,5156.08
180.5,729.35,1155.59,1595.16,1488.07,1762.82,1805.39,2168.27,2920.12,3887.89,4835.82,5186.39
181.0,729.35,1155.59,1595.16,1488.07,1762.82,1805.39,2168.27,2920.12,3887.89,4835.82,5186.39
181.5,733.87,1162.85,1605.25,1497.33,1773.64,1816.38,2181.47,2938.47,3912.02,4864.84,5216.7
182.0,733.87,1162.85,1605.25,1497.33,1773.64,1816.38,2181.47,2938.47,3912.02,4864.84,5216.7
182.5,738.39,1170.11,1615.34,1506.59,1784.46,1827.37,2194.67,2956.82,3936.15,4893.86,5247.01
183.0,738.39,1170.11,1615.34,1506.59,1784.46,1827.37,2194.67,2956.82,3936.15,4893.86,5247.01
183.5,742.91,1177.37,1625.43,1515.85,1795.28,1838.36,2207.87,2975.17,3960.28,4922.88,5277.32
184.0,742.91,1177.37,1625.43,1515.85,1795.28,1838.36,2207.87,2975.17,3960.28,4922.88,5277.32
184.5,747.43,1184.63,1635.52,1525.11,1806.1,1849.35,2221.07,2993.52,3984.41,4951.9,5307.63
185.0,747.43,1184.63,1635.52,1525.11,1806.1,1849.35,2221.07,2993.52,3984.41,4951.9,5307.63
185.5,751.95,1191.89,1645.61,1534.37,1816.92,1860.34,2234.27,3011.87,4008.54,4980.92,5337.94
186.0,751.95,1191.89,1645.61,1534.37,1816.92,1860.34,2234.27,3011.87,4008.54,4980.92,5337.94
186.5,756.47,1199.15,1655.7,1543.63,1827.74,1871.33,2247.47,3030.22,4032.67,5009.94,5368.25
187.0,756.47,1199.15,1655.7,1543.63,1827.74,1871.33,2247.47,3030.22,4032.67,5009.94,5368.25
187.5,760.99,1206.41,1665.79,1552.89,1838.56,1882.32,2260.67,3048.57,4056.8,5038.96,5398.56
188.0,760.99,1206.41,1665.79,1552.89,1838.56,1882.32,2260.67,3048.57,4056.8,5038.96,5398.56
188.5,765.51,1213.67,1675.88,1562.15,1849.38,1893.31,2273.87,3066.92,4080.93,5067.98,5428.87
189.0,765.51,1213.67,1675.88,1562.15,1849.38,1893.31,2273.87,3066.92,4080.93,5067.98,5428.87
189.5,770.03,1220.93,1685.97,1571.41,1860.2,1904.3,2287.07,3085.27,4105.06,5097.0,5459.18
190.0,770.03,1220.93,1685.97,1571.41,1860.2,1904.3,2287.07,3085.27,4105.06,5097.0,5459.18
190.5,774.55,1228.19,1696.06,1580.67,1871.02,1915.29,2300.27,3103.62,4129.19,5126.02,5489.49
191.0,774.55,1228.19,1696.06,1580.67,1871.02,1915.29,2300.27,3103.62,4129.19,5126.02,5489.49
191.5,779.07,1235.45,1706.15,1589.93,1881.84,1926.28,2313.47,3121.97,4153.32,5155.04,5519.8
192.0,779.07,1235.45,1706.15,1589.93,1881.84,1926.28,2313.47,3121.97,4153.32,5155.04,5519.8
192.5,783.59,1242.71,1716.24,1599.19,1892.66,1937.27,2326.67,3140.32,4177.45,5184.06,5550.11
193.0,783.59,1242.71,1716.24,1599.19,1892.66,1937.27,2326.67,3140.32,4177.45,5184.06,5550.11
193.5,788.11,1249.97,1726.33,1608.45,1903.48,1948.26,2339.87,3158.67,4201.58,5213.08,5580.42
194.0,788.11,1249.97,1726.33,1608.45,1903.48,1948.26,2339.87,3158.67,4201.58,5213.08,5580.42
194.5,792.63,1257.23,1736.42,1617.71,1914.3,1959.25,2353.07,3177.02,4225.71,5242.1,5610.73
195.0,792.63,1257.23,1736.42,1617.71,1914.3,1959.25,2353.07,3177.02,4225.71,5242.1,5610.73
195.5,797.15,1264.49,1746.51,1626.97,1925.12,1970.24,2366.27,3195.37,4249.84,5271.12,5641.04
196.0,797.15,1264.49,1746.51,1626.97,1925.12,1970.24,2366.27,3195.37,4249.84,5271.12,5641.04
196.5,801.67,1271.75,1756.6,1636.23,1935.94,1981.23,2379.47,3213.72,4273.97,5300.14,5671.35
197.0,801.67,1271.75,1756.6,1636.23,1935.94,1981.23,2379.47,3213.72,4273.97,5300.14,5671.35
197.5,806.19,1279.01,1766.69,1645.49,1946.76,1992.22,2392.67,3232.07,4298.1,5329.16,5701.66
198.0,806.19,1279.01,1766.69,1645.49,1946.76,1992.22,2392.67,3232.07,4298.1,5329.16,5701.66
198.5,810.71,1286.27,1776.78,1654.75,1957.58,2003.21,2405.87,3250.42,4322.23,5358.18,5731.97
199.0,810.71,1286.27,1776.78,1654.75,1957.58,2003.21,2405.87,3250.42,4322.23,5358.18,5731.97
199.5,815.23,1293.53,1786.87,1664.01,1968.4,2014.2,2419.07,3268.77,4346.36,5387.2,5762.28
200.0,815.23,1293.53,1786.87,1664.01,1968.4,2014.2,2419.07,3268.77,4346.36,5387.2,5762.28
